line_text,speaker
"And combined, they have sold more than 100 million copies worldwide.",Kelly Larson
"Now, have you seen any of the Twilight movies?",Kelly Larson
"No, I have not.",Leslie Knope
"Well, let me describe them to you shot for shot.",Kelly Larson
Movie number one.,Kelly Larson
Twilight.,Kelly Larson
We slowly pan up over a mossy log to see a deer drinking crystal clear water.,Kelly Larson
"Okay, Kelly, this time capsule isn't just a barrel full of stuff that people like.",Leslie Knope
"It's about life in Pawnee at this moment in time, and there is nothing in Twilight that is specific to Pawnee.",Leslie Knope
"I disagree, okay?",Kelly Larson
"The town of Forks, Washington is exactly like Pawnee, except for the climate and the vampires.",Kelly Larson
I'm sorry.,Leslie Knope
I have to say no.,Leslie Knope
I beg you to reconsider.,Kelly Larson
And I'm gonna have to ask you to leave.,Leslie Knope
Then I'm gonna have to do this.,Kelly Larson
He brought handcuffs with him.,Leslie Knope
This whole thing was planned.,Leslie Knope
I think it's kind of cool.,April Ludgate
It's not cool.,Leslie Knope
"It's trespassing, and that is breaking the rules.",Leslie Knope
Cool people make the rules.,Leslie Knope
They don't break the rules.,Leslie Knope
"And if those kids want you to break the rules, they're not really your friends.",Leslie Knope
"Whoa, who are you even talking about?",April Ludgate
I don't know.,Leslie Knope
I'm sorry.,Leslie Knope
I'm just annoyed.,Leslie Knope
"But while we're on the subject, your friend Orrin, with the long black nails and the cloak?",Leslie Knope
He concerns me.,Leslie Knope
He's a genius.,April Ludgate
I'll take care of this trespasser.,Ron Swanson
Give me 30 seconds.,Ron Swanson
I'm just gonna call security.,Leslie Knope
"Guys, can we push the meeting an hour?",Ben Wyatt
What's going on?,Ben Wyatt
Some guy handcuffed himself to a pipe in my office because we wouldn't put a copy of Twilight in the time capsule.,Leslie Knope
Damn it.,Ben Wyatt
Again?,Ben Wyatt
You look sad.,Kelly Larson
You look like a weird goon who's obsessed with a kid's book.,Tom Haverford
"It's a girl, isn't it?",Kelly Larson
I can tell.,Kelly Larson
It's the look that Mike had on his face when Bella turned him down for the dance.,Kelly Larson
"Oh, yeah?",Tom Haverford
Is it?,Tom Haverford
What look did your mom have on her face when she realized her son was a complete failure?,Tom Haverford
"Okay, I'll be quiet.",Kelly Larson
But I do know something about heartbreak.,Kelly Larson
And you know who else does?,Kelly Larson
"Kenneth ""Babyface"" Edmonds?",Tom Haverford
No.,Kelly Larson
A little lady named Twilight author Stephenie Meyer.,Kelly Larson
Trust me.,Donna Meagle
You should listen to him.,Donna Meagle
Those books are good.,Donna Meagle
"Oh, I love any book about vampires, werewolves, monsters, zombies, sorcerers, beasties or time traveling romances.",Donna Meagle
"And if I had an hour alone with Robert Pattinson, he would forget all about Skinnylegs McGee.",Donna Meagle
I'll tell you that much.,Donna Meagle
"Okay, buddy, time is up.",Leslie Knope
Give us the keys.,Leslie Knope
They're hidden somewhere very far away.,Kelly Larson
Then we're gonna have to cut you loose.,Leslie Knope
Why?,Kelly Larson
I'm not doing anything wrong.,Kelly Larson
"Yes, you are.",Ron Swanson
You're trespassing.,Ron Swanson
"Well, the fact remains this is perfectly legal.",Kelly Larson
"No, it's not.",Leslie Knope
You're trespassing.,Leslie Knope
"Look, I really don't want to cause any trouble, but I am not gonna leave until you put Twilight in the time capsule.",Kelly Larson
This muscleheaded Stormtrooper doesn't scare me.,Kelly Larson
"Go ahead, Artie.",Leslie Knope
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
Please!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
No!,Kelly Larson
Get him away from me!,Kelly Larson
I am very scared of you!,Kelly Larson
All right!,Leslie Knope
Okay!,Leslie Knope
All right!,Leslie Knope
All right!,Leslie Knope
All right!,Leslie Knope
Stop.,Leslie Knope
"If he wants to stay in there, I'll let him stay in there.",Leslie Knope
"In two hours, he's gonna be so hungry and freaked out, he's gonna be begging me to-- He brought a pillow.",Leslie Knope
"Hey, Leslie, I'm making some Sleepytime tea.",Kelly Larson
Do you want any?,Kelly Larson
"Hey, dude, wake up, man.",Tom Haverford
"Oh, morning, Tom.",Kelly Larson
Twilight is dope.,Tom Haverford
I told you.,Kelly Larson
I couldn't put it down.,Tom Haverford
It was like she was peering into my soul.,Tom Haverford
"Sing it, friend.",Kelly Larson
Here.,Kelly Larson
Book two.,Kelly Larson
Twilight: New Moon.,Kelly Larson
Get cracking.,Kelly Larson
There's a second book?,Tom Haverford
And a third and a fourth.,Kelly Larson
No way.,Tom Haverford
It's fantastic.,Chris Traeger
Yeah.,Andy Dwyer
I worked really hard.,Andy Dwyer
I did every pair that I could.,Andy Dwyer
I didn't know what to do with these.,Andy Dwyer
I think they're gloves.,Andy Dwyer
"No, no, no, no.",Chris Traeger
Those are sports sandals.,Chris Traeger
They are for adventure racing.,Chris Traeger
"They perfectly contour to the human foot, and the human foot is the ultimate technology.",Chris Traeger
"Dude, that is the coolest sentence I've ever heard somebody talk.",Andy Dwyer
"So you love April, and she has a new boyfriend, right?",Chris Traeger
You got all of that from a picture?,Andy Dwyer
"No, you told me yesterday.",Chris Traeger
"Andy, I want to help you win her over.",Chris Traeger
Why do I want to help him?,Chris Traeger
Because he's a good person.,Chris Traeger
I love good people.,Chris Traeger
"Hey, you know who should wear these shoes?",Andy Dwyer
Monkeys.,Andy Dwyer
"Well, this is an interesting turn of events.",Shauna Malwae-Tweep
Is it?,Leslie Knope
I don't know.,Leslie Knope
"I mean, I guess it's kind of interesting.",Leslie Knope
"What the real story is is how wonderful our time capsule is and how it perfectly encapsulates, a word I really think you should use, what our town is all about.",Leslie Knope
"Hey, how's this for a headline?",Shauna Malwae-Tweep
"""Parks Department Foiled by Pipe Dreams.""",Shauna Malwae-Tweep
"God, that's an amazing headline, but please don't write that story.",Leslie Knope
"The key to April's heart is within you, Andy.",Chris Traeger
You need to tap in to the aspects of your personality that she once found attractive to make yourself the best version of yourself.,Chris Traeger
What's great about you?,Chris Traeger
I'm nice.,Andy Dwyer
Good!,Chris Traeger
Nice.,Chris Traeger
What else?,Chris Traeger
I'm in a band.,Andy Dwyer
Band!,Chris Traeger
What else?,Chris Traeger
That's it.,Andy Dwyer
Am I team Edward?,Tom Haverford
Yes.,Tom Haverford
"Do I share his concerns about turning Bella, though?",Tom Haverford
Absolutely not.,Tom Haverford
"Edward's primary goal, at all times, is Bella's protection.",Kelly Larson
"Can you please, please be quiet?",Leslie Knope
Sorry.,Kelly Larson
Sorry.,Kelly Larson
Let's keep it down.,Kelly Larson
Be considerate.,Kelly Larson
"Look at it this way, Tom.",Kelly Larson
Bella's love for Edward is being tested.,Kelly Larson
By Jacob?,Tom Haverford
Mmm.,Donna Meagle
Not exactly.,Donna Meagle
The Volturi?,Tom Haverford
Yes.,Donna Meagle
"Okay, you know what?",Leslie Knope
All right.,Leslie Knope
"I'm gonna go do my work in the conference room, 'cause you guys are the worst.",Leslie Knope
"You seem tense, Leslie.",Kelly Larson
You know what you should do?,Kelly Larson
Read Twilight?,Leslie Knope
Read Twilight.,Kelly Larson
Here.,Kelly Larson
"Yeah, thanks.",Leslie Knope
Sometimes I think she's in the Volturi.,Tom Haverford
"Good morning, Kelly.",Leslie Knope
"Oh, morning, Leslie.",Kelly Larson
"Hope you don't mind, I moved myself over to this pipe.",Kelly Larson
It's a little more comfortable.,Kelly Larson
No problem.,Leslie Knope
Did you have a nice night?,Leslie Knope
Sleep well?,Leslie Knope
"It was all right, considering.",Kelly Larson
Picked you up some coffee.,Leslie Knope
Thank you so much.,Kelly Larson
"Well, you seem pretty chipper this morning.",Kelly Larson
"I am, Kelly, because I know why you're here.",Leslie Knope
You know what I did last night?,Leslie Knope
"Read Twilight, and it transformed your life and you're gonna put it in the time capsule?",Kelly Larson
"Well, I read the first 10 pages.",Leslie Knope
"I couldn't really get into it, though.",Leslie Knope
More of a Harry Potter girl myself.,Leslie Knope
What?,Kelly Larson
"But I looked in the inside cover, and I saw this.",Leslie Knope
"Did a little research, and Liz Waverly is 12 years old, a straight-A student at King Philip Middle.",Leslie Knope
"She's also a member of many Twilight Internet message boards, and I'm guessing your daughter?",Leslie Knope
Is that why you did this?,Leslie Knope
To impress your daughter?,Leslie Knope
"Liz's mom and I divorced a couple years ago, and it's been really hard on her.",Kelly Larson
She loves Twilight.,Kelly Larson
"So, I read about your time capsule and I thought that if I could somehow convince you to get it in there, I'd be a big hero.",Kelly Larson
That's really sweet.,Leslie Knope
You should have told me you were doing this for your daughter.,Leslie Knope
I didn't want to drag her into it.,Kelly Larson
I'm sorry.,Kelly Larson
This is a mistake.,Kelly Larson
You don't have to put Twilight in the time capsule.,Kelly Larson
I think we should put Twilight in the time capsule.,Leslie Knope
"Leslie, no.",Ron Swanson
We don't negotiate with weirdoes.,Ron Swanson
"Yeah, what happened to, ""A perfect encapsulation of life in Pawnee""?",Ben Wyatt
"Well, for that guy, life in Pawnee is him and his daughter reading that book.",Leslie Knope
"Besides, I can get Shauna on board.",Leslie Knope
It would make a great human interest story.,Leslie Knope
"Uh, if this gets out, every time you want to do anything, some guy's gonna come into your office and handcuff himself to a pipe.",Ben Wyatt
"Well, yeah, that's a good point.",Leslie Knope
Then we shall bring the pipe to them.,Leslie Knope
"Oh, no.",Ron Swanson
"Oh, yes.",Leslie Knope
What does that mean?,Ben Wyatt
Crackpot convention.,Ron Swanson
So that's what today's forum is for.,Leslie Knope
"We're gonna hear suggestions from everyone, and then whichever items we generally agree on will go into the time capsule.",Leslie Knope
"Please remember, this is a government project, so we need to refrain from corporate promotion and religious items.",Leslie Knope
Who'd like to start?,Leslie Knope
I think we should put in the Bible.,Extra
Great.,Leslie Knope
Eduardo.,Andy Dwyer
"Hi, Eduardo.",Andy Dwyer
I want to apologize.,Andy Dwyer
Just because you're dating my soul mate doesn't give me any right to be a jerk to you.,Andy Dwyer
"I promise from now on, I'm just gonna be super nice to you.",Andy Dwyer
Thank you for saying that.,Eduardo
You're welcome.,Andy Dwyer
What CDs are those?,Eduardo
Mouse Rat.,Andy Dwyer
My band.,Andy Dwyer
It's our latest album.,Andy Dwyer
Yeah.,Andy Dwyer
You like music?,Andy Dwyer
What are you listening to?,Andy Dwyer
The Smiths.,Eduardo
Very depressing!,Eduardo
April's making you listen to that?,Andy Dwyer
Mmm.,Eduardo
She's really into that indie stuff.,Andy Dwyer
I'm more of a Dave Matthews guy myself.,Andy Dwyer
David Matthews!,Eduardo
Crash into Me!,Eduardo
Yes!,Andy Dwyer
I love that song.,Andy Dwyer
"Here you go, here.",Andy Dwyer
Take one.,Andy Dwyer
Check us out.,Andy Dwyer
"We're amazing, so let me know how much you like us.",Andy Dwyer
"Yeah, gracias.",Eduardo
"That means ""thank you""?",Andy Dwyer
Yes.,Eduardo
Nailed it.,Andy Dwyer
"So, we have one very moving case for Twilight.",Leslie Knope
Anyone else?,Leslie Knope
Great.,Leslie Knope
Two people for Twilight.,Leslie Knope
"Oh, no, no, no, no.",Marcia Langman
"I'm Marcia Langman, from the Society for Family Stability Foundation.",Marcia Langman
This book contains pagan creatures and strong sexual overtones.,Marcia Langman
There are girls quivering.,Marcia Langman
"There are boys staring deeply into girls' eyes as they quiver, and so forth.",Marcia Langman
There really is a tremendous amount of quivering.,Marcia Langman
"It is anti-Christian, it is pro-quivering, and the government has no business promoting it.",Marcia Langman
I totally disagree.,Extra
"Well, now we have two people for Twilight.",Leslie Knope
Absolutely not.,Extra
I'm with the National Civil Liberties Association.,Extra
"That book actually contains overt Christian themes, and as such, has no business being associated with any government project.",Extra
"So too Christian, and not Christian enough?",Leslie Knope
Do you see the irony here?,Leslie Knope
No?,Leslie Knope
Okay.,Leslie Knope
"Uh... Donna, why don't you put a question mark next to Twilight?",Leslie Knope
No!,Kelly Larson
You promised!,Kelly Larson
You promised?,Marcia Langman
That's not fair!,Marcia Langman
"Wait, it's not a question of fairness.",Extra
"Go back to Russia, commie!",Marcia Langman
"Hey, you go back to Russia! You go back to wherever you came from!",Kelly Larson
Why would I go to Russia? I have no interest in traveling to Russia. Can I just say that?,Marcia Langman
And who else?,Leslie Knope
"I would like to include my favorite book, Crazy from the Heat, the David Lee Roth story.",Extra
"Well, I think if we're gonna be adding a book to the time capsule, it would probably be Twilight.",Leslie Knope
I don't care about Twilight.,Extra
Why is this only about his favorite book? I want my favorite book in there.,Extra
"Okay, I have an idea.",Leslie Knope
Two time capsules.,Leslie Knope
"One that totally encapsulates what's happening right now in Pawnee in this moment in time and the other one that's just for items of personal significance, like Twilight.",Leslie Knope
No Twilight!,Marcia Langman
"Yes, Twilight!",Kelly Larson
Hey.,Tom Haverford
Hey.,Lucy
Thanks for coming.,Tom Haverford
I only have a second.,Lucy
I have to get to work.,Lucy
Bella's going on her first hunt.,Tom Haverford
I just don't get why you broke up with me.,Tom Haverford
"Is it 'cause I'm not cool enough? Like the normal kids compared to the vampires? Is it an Edward Bella Jacob type situation, where you like me but there's someone else you like more?",Tom Haverford
Uh It's nothing to do with Twilight. It just didn't work out.,Lucy
"Okay? Well, what difference does it make? If we stayed together, you probably would have just dumped me for Ron.",Tom Haverford
"Actually, that's the reason.",Lucy
"I believe you when you say that you're not in love with Wendy anymore, but you're definitely not cool with her dating Ron.",Lucy
You talk about it constantly.,Lucy
"Well, I can't help it, okay? I mean, he's so manly, and he's my boss.",Tom Haverford
"Imagine if your boss was Angelina Jolie, and then one day, she just started dating your ex-boyfriend.",Tom Haverford
Wouldn't that freak you out a little bit?,Tom Haverford
"Well, not if I had a great new boyfriend, dumbass.",Lucy
"Look, Tom, I like you.",Lucy
"You're really cute and you're funny, and you're small enough for me to throw you around.",Lucy
"So if you ever work through this, then give me a call.",Lucy
"My grandmother lived in Pawnee for 60 years, and I wanna put her ashes in the time capsule.",Extra
"My cat, Turnip, was the greatest cat ever, and I'd like to put his ashes in the time capsule.",Chance Frenlm
"For the last time, and I won't say this again, there will be no human or feline ashes in either one of the time capsules.",Leslie Knope
Except for Turnip! Except for Turnip!,Chance Frenlm
No chanting.,Leslie Knope
"Look, we don't know what the world is going to be like in 50 years.",Extra
We could all have been wiped out from disease or the flu.,Extra
So what's your suggestion?,Leslie Knope
I don't know. I'm just scared.,Extra
Hey.,April Ludgate
Andy!,Eduardo
"I got two microphones, a four-track recorder and every bass tab to Dave Matthews ever.",Andy Dwyer
"We're gonna jam for, like, nine hours.",Andy Dwyer
Is that cool?,Andy Dwyer
Yeah.,Eduardo
All right.,Andy Dwyer
That's ridiculous.,Gretel
"Now, why should the Bill of Rights be in the official time capsule, but this painting of my dog is in time capsule seven?",Gretel
"Well, I think pet paintings/ ashes are in time capsule four.",Leslie Knope
"No, that's baseball cards.",Extra
"No, baseball cards are in time capsule nine, childhood memorabilia.",Leslie Knope
"Honestly, Twilight could go in almost any of these categories.",Kelly Larson
"Oh, shut up, Kelly!",Extra
"Make me, Bob!",Kelly Larson
"Okay, let's take a 10-minute break! Oh, God.",Leslie Knope
This time capsule's tearing this town apart.,Leslie Knope
You're leaving soon.,Leslie Knope
Can I blame it on you in the press?,Leslie Knope
Sure.,Ben Wyatt
"Well, I gotta say, I think it's kind of impressive.",Ben Wyatt
I've been to a lot of towns.,Ben Wyatt
Usually people don't care about anything.,Ben Wyatt
"I mean, don't get me wrong.",Ben Wyatt
"These people are weirdoes, but they're weirdoes who care.",Ben Wyatt
"Excuse me, everyone.",Leslie Knope
"I realize things have gotten a little out of control, and that's Ben's fault, and he's sorry.",Leslie Knope
"But I have an idea, and if you like it, I think we can end this right now.",Leslie Knope
"""Dear Pawnee of the future, congratulations.""",Leslie Knope
"""You have found a time capsule that was buried over 50 years ago.""",Leslie Knope
"""We wanted to include a collection of items that would best represent what life was like in our town at that moment.""",Leslie Knope
"""Instead, you'll find only one item, a video recording of a public forum we held in order to determine just what those items would be.""",Leslie Knope
"""This is truly what life was like.""",Leslie Knope
"""A lot of people with a lot of opinions arguing passionately for what they believed in.""",Leslie Knope
"""So enjoy watching it, assuming you still have electricity.""",Leslie Knope
"""And sorry about the weird blank gap in the middle.""",Leslie Knope
"""A man named Jerry Gergich screwed up the recording somehow.""",Leslie Knope
"""He had one job to do.""",Leslie Knope
"""Sincerely, Pawnee of the past.""",Leslie Knope
Is Eduardo coming?,Andy Dwyer
"No, he went back to Venezuela.",April Ludgate
"Oh, that sucks.",Andy Dwyer
He was a really good bassist.,Andy Dwyer
I was actually starting to like him.,Andy Dwyer
I know.,April Ludgate
That's what made me start to hate him.,April Ludgate
Hey.,Andy Dwyer
Nice and band totally worked.,Andy Dwyer
Have you enjoyed your time with Andy?,Ann Perkins
"Yeah, he's great.",Chris Traeger
And he told me how great you are.,Chris Traeger
And he told me that I would be crazy to let you get away.,Chris Traeger
"He did, huh?",Ann Perkins
He did.,Chris Traeger
"And also, there is a pretzel stand over there that serves, literally, the best pretzel I've ever had.",Chris Traeger
Would you like one?,Chris Traeger
Absolutely.,Ann Perkins
"Hey, guys.",Tom Haverford
"Hey, Tom.",Everyone
Tom.,Leslie Knope
"Listen, I've never seen this before, so I'd really appreciate it if no one, like, talked or texted or anything.",Tom Haverford
Okay.,Tom Haverford
Ooh! Hey.,Leslie Knope
"Hey, Leslie, thanks for setting this up.",Kelly Larson
"Dude, what did I just say?",Tom Haverford
"Hey, I was the guy who introduced you to--",Kelly Larson
How about you shut up?,Tom Haverford
Ron?,Jack Cooper
"Jack Cooper, from the Controller's Office.",Jack Cooper
Got a second?,Jack Cooper
"Sure, what can I do you for?",Ron Swanson
"Frankly, this is a little awkward.",Jack Cooper
We've received this letter from a collection agency about an outstanding debt from the Pawnee Public Library.,Jack Cooper
It appears you have an overdue book.,Jack Cooper
"Oh, do I?",Ron Swanson
"It's not the size of the boat, embracing Life with a Micropenis.",Jack Cooper
Tammy.,Ron Swanson
My ex-wife Tammy likes to check in every so often and make sure I'm doing okay.,Ron Swanson
"And if I am, she tries to everything up.",Ron Swanson
"Okay, I pre-dialed 911, so all you have to do is press send.",Leslie Knope
You're worrying over nothing.,Ron Swanson
"If she binds your hands and you can't reach your phone, just try to chew yourself free.",Leslie Knope
Whale tail.,Leslie Knope
Whale tail.,Leslie Knope
She's flashing a whale tail.,Leslie Knope
Abort.,Leslie Knope
Abort.,Leslie Knope
"Hello, Tammy.",Ron Swanson
Oh!,Tammy 2
"Hello, Ron.",Tammy 2
I didn't see you come in.,Tammy 2
I was just checking myself for scoliosis.,Tammy 2
And?,Ron Swanson
Straight as an arrow.,Tammy 2
Just like somebody else I know.,Tammy 2
Jerky?,Tammy 2
Call off the dogs.,Ron Swanson
"You and I both know that in my entire adult life, I have never checked a book out of the library.",Ron Swanson
"Oh, my God, she's amazing.",Leslie Knope
Ooh!,Tammy 2
Mmm.,Tammy 2
I admit there was a time when that sort of behavior would've driven me wild.,Ron Swanson
"But I am in a healthy relationship now, Tammy.",Ron Swanson
A relationship?,Tammy 2
With whom?,Tammy 2
"A lovely, intelligent, self-possessed pediatric surgeon named Wendy.",Ron Swanson
Sounds like a real whore.,Tammy 2
Clear the late charges and cut the crap.,Ron Swanson
Good day.,Ron Swanson
"Good day, Leslie.",Tammy 2
Good Good day.,Leslie Knope
"Okay, so we're ordering them a total of 30 pizzas, so let's talk toppings.",Leslie Knope
"Sausage, onion, and peppers.",Andy Dwyer
Scientifically proven to be the best toppings.,Andy Dwyer
Nice.,Leslie Knope
Should we throw in some salads for a healthy option?,Ben Wyatt
"Wow, don't be such a Jerry, Ben.",Tom Haverford
"Yeah, Ben, these guys are cops, not ballerinas.",Leslie Knope
So we are throwing a little shindig for the police department because we're asking them to volunteer as security during the Harvest Festival.,Leslie Knope
"I don't know what it is about big outdoor gatherings that makes everyone want to urinate all over everything, but it does.",Leslie Knope
And they do.,Leslie Knope
"Okay, how about some calzones?",Ben Wyatt
Calzones are like pizzas but they're harder to eat.,Leslie Knope
"They're dumb, and so was that idea.",Leslie Knope
Seriously?,Ben Wyatt
This is embarrassing for you.,Tom Haverford
Sorry to interrupt.,Wendy
"Ron, are you ready?",Wendy
"Absolutely, my dear.",Ron Swanson
"I am off to have a mid-morning pre-lunch with my lady friend, but I will be back in time for lunch.",Ron Swanson
All right.,Andy Dwyer
Ron's girlfriend's pretty.,Ben Wyatt
Tom's ex-wife.,Andy Dwyer
Oh.,Ben Wyatt
I don't want to see them together.,Tom Haverford
It's like they're rubbing it in my face.,Tom Haverford
All I can think about is Captain Mustache plowing my exwife.,Tom Haverford
And you imagine he's wearing a cape while he's plowing her?,Andy Dwyer
What?,Tom Haverford
"No, just, Captain Mustache?",Andy Dwyer
"I mean, if all you can think of is Ron, you know... Maybe put him in some tights and a cape, and then it would be funny.",Andy Dwyer
Now I'm imagining a cape.,Tom Haverford
April?,Chris Traeger
Did you call me?,April Ludgate
I did call you.,Chris Traeger
Good ears.,Chris Traeger
"Chris's assistant went back to Indianapolis, so he's borrowing me for a few days.",April Ludgate
Yay!,April Ludgate
I'd like you to get me some more Postits.,Chris Traeger
I'd like them in multiple colors.,Chris Traeger
I'd like green.,Chris Traeger
I'd like yellow.,Chris Traeger
Do not buy orange.,Chris Traeger
I do not want orange.,Chris Traeger
I have plenty of orange.,Chris Traeger
Got it.,April Ludgate
You want five million orange Postits.,April Ludgate
That's hilarious.,Chris Traeger
"Oh, wait!",Chris Traeger
I have a Postit for you.,Chris Traeger
"It says, ""Great job!""",Chris Traeger
Great job.,Chris Traeger
There you go.,Chris Traeger
"They're getting really old, and I'm an only child.",Wendy
I just feel like the right thing to do is to move back home.,Wendy
I'm sorry to see you go.,Ron Swanson
I've really come to think of you as a companion.,Ron Swanson
"Hey, I don't suppose you'd want to move to Canada?",Wendy
Canada.,Ron Swanson
"No, I don't suppose I would.",Ron Swanson
"Hey, I hate to nag, but shouldn't we be talking strategy, like, when to ask the chief for this huge critical favor?",Ben Wyatt
Yes.,Leslie Knope
I know exactly when we should do it.,Leslie Knope
"Post-pizza, pre-ice cream, between his third and fourth beer.",Leslie Knope
"He'll be full but not stuffed, tipsy but not drunk.",Leslie Knope
Should be around 9:00.,Leslie Knope
"Okay, so you've thought this through.",Ben Wyatt
Just sit tight.,Leslie Knope
I'll get you a beer.,Leslie Knope
"Can I have two beers, please?",Leslie Knope
"Hey, you okay?",Leslie Knope
Wendy and I are over.,Ron Swanson
She's moving back to Canada.,Ron Swanson
It's too bad.,Ron Swanson
I just taught her how to whittle.,Ron Swanson
She made me this tiny sharpened stick.,Ron Swanson
"Look, I'm gonna tell you what I tell all my girlfriends when they get dumped.",Leslie Knope
Men are dogs.,Leslie Knope
"Thank you, Leslie.",Ron Swanson
That does not apply to this situation at all.,Ron Swanson
But thank you.,Ron Swanson
I appreciate it.,Ron Swanson
This is a disaster.,Chris Traeger
You're not into football?,Chris Traeger
I knew there was something wrong with you.,Chris Traeger
I knew it.,Chris Traeger
"I knew it, knew it, knew it.",Chris Traeger
"Honestly, I haven't felt this good in years.",Ann Perkins
And it's not just because of the supplements he has me taking and the soluble fiber and the increase in regularity.,Ann Perkins
It's him.,Ann Perkins
"He's moving back to Indianapolis in a couple of weeks, which sucks.",Ann Perkins
"But if he asked me to move with him, I think I would.",Ann Perkins
I would like a local beer.,Chris Traeger
I'd like it in a bottle.,Chris Traeger
I'd like the bottle to be cold.,Chris Traeger
I would like a glass of white wine.,Ann Perkins
I would like it to be chardonnay.,Ann Perkins
And I would like that with one ice cube.,Ann Perkins
Thanks.,Ann Perkins
Chief Trumple?,Leslie Knope
"Hey, Knope.",Chief Trumple
You know Ben Wyatt from the State Budget Office.,Leslie Knope
Hello.,Ben Wyatt
"Yeah, how's it going?",Chief Trumple
Thanks for the party.,Chief Trumple
Good pizza.,Chief Trumple
Great.,Ben Wyatt
"So, yeah, the pizza's dynamite, isn't it?",Ben Wyatt
I just said it was good pizza.,Chief Trumple
It's good.,Chief Trumple
Pizza's good.,Chief Trumple
You-- You know what I like?,Ben Wyatt
Calzones.,Ben Wyatt
What the hell is wrong with this guy?,Chief Trumple
Sorry.,Leslie Knope
We'll check in with you later.,Leslie Knope
Take it easy.,Leslie Knope
"Yeah, will do.",Chris Traeger
What is wrong with you?,Leslie Knope
I was getting somewhere with that.,Ben Wyatt
"Yeah, great small talk over there.",Leslie Knope
"Okay, let me handle this.",Leslie Knope
I get a little nervous with cops.,Ben Wyatt
I'm in control.,Leslie Knope
What's up?,Tom Haverford
Tom Haverford's in the building.,Tom Haverford
Whoo!,Tammy 2
"Tom, what the hell are you doing?",Leslie Knope
"Same thing you're doing, celebrating Pawnee's finest.",Tom Haverford
"I believe you know my date, Tammy Swanson.",Tom Haverford
"Hiya, Ron.",Tammy 2
Oh.,Tom Haverford
"Hiya, Ron.",Tom Haverford
"Hey, Ron.",Tammy 2
I'm sorry.,Tom Haverford
Is seeing your ex-wife on my arm making you uncomfortable?,Tom Haverford
"Gee, I can't imagine why.",Tom Haverford
Or can I?,Tom Haverford
I like this song.,Tom Haverford
"Do you wanna dance, Tammy?",Tom Haverford
"Oh, yeah.",Tammy 2
Yeah.,Tammy 2
Oh.,Tammy 2
Ah.,Tammy 2
I know Tammy seems scary.,Leslie Knope
"But really, she's just a manipulative, psychotic, library book peddling, sex crazed shedemon.",Leslie Knope
Yeah.,Tammy 2
I think that's enough.,Tom Haverford
Tammy.,Ron Swanson
"Hi, Ron.",Tammy 2
"I was just tasting my new boyfriend, Glenn.",Tammy 2
Tom.,Tom Haverford
"You don't know what you're mixed up in, son.",Ron Swanson
This isn't about you.,Ron Swanson
It's about me.,Ron Swanson
Typical Ron Swanson.,Tom Haverford
Always thinking about yourself.,Tom Haverford
Maybe we like each other.,Tom Haverford
"Yeah, maybe we do.",Tammy 2
Okay.,Tom Haverford
Let's take it easy.,Tom Haverford
"Tammy, leave him out of this.",Ron Swanson
"So it's okay for you to have a girlfriend, but I'm not supposed to see anybody?",Tammy 2
"Damn it, woman!",Ron Swanson
Just crawl back into the dank hole you came from and leave my friends alone.,Ron Swanson
"Okay, okay.",Cop
Let's settle down.,Cop
What seems to be the problem?,Cop
What seems to be the problem?,Cop
Is there a problem here?,Cop
Basically what we had here was a dispute of a domestic nature.,Cop
"White male, 40, 45.",Cop
Caucasian male.,Cop
Stocky build.,Cop
"Approximately 5'10"".",Cop
Verbal altercation transpired at approximately 8:55 P.M. with a female unsub.,Cop
Appears to be slightly intoxicated.,Cop
Claims to be an ex-spouse.,Cop
Real piece of work.,Cop
Real piece of work.,Cop
Real piece of work.,Cop
Real piece of work.,Cop
"I know why you're doing this, and you're making a huge mistake.",Leslie Knope
"Fight fire with fire, Leslie.",Tom Haverford
"He dates my ex, I date his.",Tom Haverford
Ron and Wendy aren't even dating anymore.,Leslie Knope
She's moving back to Canada.,Leslie Knope
What?,Tom Haverford
"Oh, God.",Leslie Knope
"Okay, hey.",Leslie Knope
What's happening here?,Leslie Knope
Ron and I are going to get a cup of coffee and talk things out.,Tammy 2
It's time for Tammy and me to bury the hatchet once and for all.,Ron Swanson
Everything will be fine.,Ron Swanson
It's been like this for hours.,Chief Trumple
Right there.,Ron Swanson
Right there.,Ron Swanson
Yeah.,Tammy 2
Yeah.,Tammy 2
"Hey, Swanson!",Leslie Knope
Snap out of it!,Leslie Knope
Leslie.,Ron Swanson
Congratulate us.,Ron Swanson
Ron's got one just like it on his penis.,Tammy 2
"Oh, yeah.",Ron Swanson
What the hell happened to you?,Leslie Knope
Well... Here you go.,Ron Swanson
Rock and roll!,Tammy 2
"Yeah, baby!",Tammy 2
I got it!,Ron Swanson
You may now kiss the bride.,Extra
It's been kind of a crazy night.,Ron Swanson
"Come back, come back.",Tammy 2
"April, could you come in here a second?",Chris Traeger
"April, way to come in.",Chris Traeger
Great initiative.,Chris Traeger
You called me in.,April Ludgate
